id,procurement_type,package_name,coordinates
18489491,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung Utama Puspem Gianyar,
21751000,PEKERJAAN_KONSTRUKSI_TERINTEGRASI,Belanja Modal Bangunan Fasilitas Umum Spesifikasi: Pengadaan Gondola (Kereta Gantung) Tower Turyapada,
21749784,PEKERJAAN_KONSTRUKSI_TERINTEGRASI,Belanja Modal Bangunan Fasilitas Umum (Sarana dan Prasarana),
18487474,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung D Puspem Gianyar,
18490590,PEKERJAAN_KONSTRUKSI,Persiapan Lahan Puspem Kabupaten Gianyar,
18488496,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung B Puspem Gianyar,
18487323,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung A Puspem  Gianyar,
17946846,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Gedung Kantor - Perluasan Gedung dan Pengadaan Interior Gedung DPRD Kabupaten Badung,
21770082,JASA_LAINNYA,Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain,
17951633,PENGADAAN_BARANG,"Penyediaan Sarana dan Prasarana Pengelolaan Persampahan di TPA/TPST/SPA Kabupaten/Kota, Belanja Modal Alat Processing (Mesin Incenerator)",
19761312,JASA_LAINNYA,Belanja Iuran Jaminan Kesehatan bagi Peserta PBPU dan BP Kelas 3 (1.02.02.2.02.0026),
21781528,PENGADAAN_BARANG,UNITED IMAGING PET-CT uMI 550,
17933223,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Gedung Tempat Pendidikan Pembangunan SMP Negeri 3 Kuta Utara (Paket Strategis),
18484872,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung PJT RSUD Sanjiwani Gianyar,
18485653,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung Dit Tahti Polda Bali dan Ruang Tahanan Polda Bali,
17936224,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Gedung Kantor - Pembangunan Kantor Dinas Pemadam Kebakaran dan Penyelamatan dan Kantor Badan Penanggulangan Bencana Daerah di Pusat Pemerintahan Kabupaten Badung,
18486001,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung DPRD Kabupaten Gianyar,
17949026,PENGADAAN_BARANG,Klining Servis Senior Paket 3 tahun,
17925531,PEKERJAAN_KONSTRUKSI,"Belanja Hibah Barang kepada Pemerintah Pusat - Penataan Interior, Pengadaan Meubelair Auditorium, Pembangunan Kantin dan Garase di Kejaksaan Tinggi Bali",
21749391,PEKERJAAN_KONSTRUKSI,Penataan Area Parahyangan di Kawasan Suci Besakih Kabupaten Karangasem Tahap I,
17929042,PENGADAAN_BARANG,Internasional Fiber Optik (FO) Internet Dedicated 20000 Mbps,
17943892,PEKERJAAN_KONSTRUKSI,Belanja Hibah Barang kepada Pemerintah Pusat - Rehabilitasi Gedung Auditorium Kampus Bangli Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,
18490456,JASA_LAINNYA,Belanja Jasa Operator Pembelian Layanan Angkutan Sekolah,
17945241,PENGADAAN_BARANG,Belanja Modal Pengembangan CCTV di Kabupaten Badung,
18348639,PENGADAAN_BARANG,Belanja Obat-Obatan-Obat-Obatan Lainnya (Bahan dan Alat Habis Pakai Kesehatan),
17923130,PEKERJAAN_KONSTRUKSI,"Paket Konsolidasi Belanja Modal Rumah Negara Golongan I (Penataan Rumah Jabatan Kepala Daerah, Penataan Rumah Jabatan Wakil Kepala Daerah) Dan Belanja Modal Instalasi Lain (MEP Penataan Rumah Jabatan Kepala Daerah, MEP Penataan Rumah Jabatan Wakil Kepala Daerah)",
21755645,PEKERJAAN_KONSTRUKSI,Pemeliharaan Berkala Jalan pada Ruas Jalan Provinsi TEGALTAMU - PAYANGAN - BATURANYAR SEGMEN I,
17934366,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Gedung Tempat Pendidikan Pembangunan SMP Negeri 1 Kuta Utara,
17921066,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Gedung Tempat Pendidikan Pembangunan SMP Negeri 1 Kuta Selatan,
17931574,PENGADAAN_BARANG,136 HD Road Sweeper Ceksan 4M3 Karunia Perdana Putra,
17942033,JASA_LAINNYA,Belanja Rekening Penerangan Jalan Umum,
21780331,PEKERJAAN_KONSTRUKSI,Pemeliharaan Berkala Jalan pada Ruas Jalan Provinsi KETEWEL - SUKAWATI,
18487134,PEKERJAAN_KONSTRUKSI,Pembangunan Gedung Timur Polres Gianyar Polda Bali,
21057123,JASA_LAINNYA,2.15.02.2.02.0004 Belanja Rekening Penerangan Jalan Umum,
